Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature","URL"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g2080001h","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5358/MFG_VG2080001H.jpg","1670-VG2080001H-ND","VG2080001H","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 130HZ 1.8G","1,532","10.64","0","1","Tray","VG","Active","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","2.5 / 17.7","-","-","Round - 0.787"" Dia (20.00mm)","-","-","-","Solder Tab","-","-","-","-40°C ~ 85°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG2080001H/19203009"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VG2230001H-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3842/MFG_VG2230001H.jpg","1670-VG2230001H-ND","VG2230001H","Vybronics Inc","Vybronics, Inc","VIBRATION VOICE COIL 70HZ 3.5G","205","11.1","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Round - 0.866"" Dia (22.00mm)","-","-","-","-","-","-","-","-30°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG2230001H/16719289"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VLV221007E-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5792/MFG_VLV221007E.jpg","1670-VLV221007E-ND","VLV221007E","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 230HZ 8.0G","190","12.72","0","1","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2.3VAC","-","0.111 / 0.785","-","-","Rectangular - 0.394"" x 0.276"" (10.00mm x 7.00mm)","-","-","-","Solder Pad","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV221007E/21800154"
"https://www.vybronics.com/linear-lra-vibration-motors/v-l32158h-l25","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4274/MFG_VL32158H-L25.jpg","1670-VL32158H-L25-ND","VL32158H-L25","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 100HZ 5G","67","9.36","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Rectangular - 0.591"" x 0.315"" (15.00mm x 8.00mm)","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VL32158H-L25/16719293"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lv200634a","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4116/MFG_VLV200634A.jpg","1670-VLV200634A-ND","VLV200634A","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 160HZ 2.75G","45","8.24","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.5VAC","-","-","-","-","Rectangular - 0.236"" x 0.135"" (6.00mm x 3.43mm)","-","-","-","Solder Tab","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV200634A/16719294"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lv152564w","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5351/MFG_VLV152564W.jpg","1670-VLV152564W-ND","VLV152564W","Vybronics Inc","Vybronics, Inc","VIBRATION LRA WIDEBAND 0.93G","31","8.78","0","1","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","1.4VAC","-","1.29 / 9.1","-","-","Rectangular - 0.575"" x 0.252"" (14.60mm x 6.40mm)","-","-","-","Solder Pad","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV152564W/19203005"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VG0415001W-240H-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7151/MFG_VG0415001W-240H.jpg","1670-VG0415001W-240H-ND","VG0415001W-240H","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MTR 240 HZ 0.1G","0","7.96","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","0.4VAC","-","-","-","-","Round - 0.158"" Dia (4.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0415001W-240H/26813190"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0825001u","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7981/MFG_VG0825001U.jpg","1670-VG0825001U-ND","VG0825001U","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR LINEAR 0.6G","0","5.16","0","1","Tray","-","Active","AC Motor","Vibration, LRA (Haptic)","-","1.2VAC","-","0.977 / 6.9","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0825001U/22514380"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0825001-2","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/698/MFG_G0825001D.jpg","1670-VG0825001D-ND","VG0825001D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR LINEAR 0.6G","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","1.2VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0825001D/10285885"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g1040001d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/MFG_G1040001D.jpg","1670-VG1040001D-ND","VG1040001D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 170HZ 1.5G","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG1040001D/10285887"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g0832029d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1009/G0832029D.jpg","1670-VG0832029D-ND","VG0832029D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 205HZ 1.4G","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0832029D/12323588"
"https://www.vybronics.com/wp-content/uploads/datasheet-files/Vybronics-VLVM061530-Jinlong-LVM061530-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1183/MFG_LVM061530.jpg","1670-VLVM061530B-ND","VLVM061530B","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","0.28W","-","Rectangular - 0.236"" x 0.591"" (6.00mm x 15.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLVM061530B/6009933"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lvm061930b-l20","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1284/MFG_LVM061930.jpg","1670-VLVM061930B-L20-ND","VLVM061930B-L20","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","0.23W","-","Rectangular - 0.236"" x 0.748"" (6.00mm x 19.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLVM061930B-L20/6009934"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lv061228b-l65-a","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2278/MFG_LV061228B.jpg","1670-VLV061228B-L65-A-ND","VLV061228B-L65-A","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V LINEAR","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Rectangular - 0.236"" x 0.472"" (6.00mm x 12.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV061228B-L65-A/7732325"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4507/intro-to-lra-technology.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2217/MFG_G0825001.jpg","1670-VG0825001-ND","VG0825001","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 1.8V COIN","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","1.8VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG0825001/7732326"
"https://www.vybronics.com/linear-lra-vibration-motors/v-lv081230b-l30","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/312/MFG_LV081230B-L30.jpg","1670-VLV081230B-L30-ND","VLV081230B-L30","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V LINEAR","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Rectangular - 0.315"" x 0.472"" (8.00mm x 12.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VLV081230B-L30/9825386"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g1036002d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/694/MFG_G1036002D.jpg","1670-VG1036002D-ND","VG1036002D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V COIN","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG1036002D/9974281"
"https://www.vybronics.com/coin-vibration-motors/lra/v-g1036001d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/694/MFG_G1036001D.jpg","1670-VG1036001D-ND","VG1036001D","Vybronics Inc","Vybronics, Inc","VIBRATION LRA MOTOR 2V COIN","0","Obsolete","0","0","Tray","-","Obsolete","AC Motor","Vibration, LRA (Haptic)","-","2VAC","-","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-25°C ~ 70°C","https://www.digikey.ca/en/products/detail/vybronics-inc/VG1036001D/9974282"
